question,answer
在智能交通系统设计中，给定交通密度为80 veh/km，道路最大通行密度为120 veh/km，对应的平均车速是多少？,1
在抗震设计中，如何利用单自由度系统评估Case1所描述结构在地震作用下的动态位移响应？,1
当干燥过程的初始水分含量为15.0%，系统平衡水分含量为4.0%时，如何预测食品在干燥过程中的水分变化趋势？,1
对于一台发动机排量为3.0L的SUV车型，在高速巡航状态（车速120km/h）下空气阻力系数达到0.32，这种情况下其综合燃油效率指标是多少？,1
假设在一个人流较多的节假日，天气良好并有大型活动举办，公园的最大接待能力是否会被达到？,1
有一批牛初始体重为300kg，生长速率为0.015/天，在100天内其体重增长是否符合指数增长模型预测值？具体数值是多少？,1
在食品干燥工艺中，如何根据给定的干燥温度、时间、初始水分含量和空气流速预测最终的食品水分含量？,1
对于案例 case3，该学生的学习效果得分是多少？,1
在汽车燃油效率预测的实际业务中，如何结合车速、发动机负载等关键因素建立一个能反映实际波动性的随机模型？,1
在给定的养殖条件下，鱼类的日增重预测值是多少？,1
对于热值为42 MJ/kg的燃料，燃烧效率的预测值是多少？,1
根据我们的房价预测模型，case1中的房屋面积为120平方米，有3间卧室、2间浴室，位于15层，房龄为5年，该房屋的预测价格是多少万元？,1
在建筑围护结构热传导分析中，已知某墙体材料某点位置x=0.0，时间t=0.0，材料参数k=0.1，求此时的温度值？,1
在热传导过程中，若系统受到恒定外部输入和周期性环境扰动作用，当衰减系数为0.5、输入增益为1.0、扰动幅值为0.2、频率为1.0时，经过10秒后系统的状态值是多少？,1
已知三种不同农业管理方案下的环境与农艺参数，如何比较其预期产量水平？,1
基于 case2 的商品和用户特征，在考虑模型中引入的随机扰动后，用户的实际购买转化率大概是多少？,1
按照模拟模型，请计算第30天时的健康指标预测结果是多少？,1
针对 case3 所描述的高质量广告和高用户活跃度情况，用户最终发生购买行为的可能性有多大？,1
根据建模背景，case1的房屋在当前房地产市场中的预测价格是多少？,1
基于构建的评分公式，case3的健康风险评分结果是否处于较低风险区间？,1
一款商品的售价为200元，成本为120元，转化率为3%，流量为2000人，这个情况下的预期利润是多少？,1
在食品加热干燥过程中，如何预测加热时间为5分钟时的水分损失率？,1
在设定的偏微分方程定价框架下，若标的资产价格为90、行权价为100、到期时间为2年、无风险利率为4%，该衍生品的模型输出价格应为多少？,1
若当前游客满意度为75.0，每日新增5项设施，根据模型计算第二天的满意度值是多少？,1
在当前市场环境下，若利率为0.05、波动率为0.2、已运行1年且流动性为5，资产价格的变化率是多少？,1
根据我们的简单线性回归模型，一个建筑面积为60平方米的房屋估值是多少？,1
当食品在150℃条件下加热5分钟时，依据建立的水分损失模型，所对应的水分损失率应为多少？,1
当时间变为下午4点，环境温度上升到28℃，人群密度达到3.0人/平方米时，游客的舒适度会有多大的下降？,1
在水产养殖管理中，已知内禀增长率和环境承载力，当当前种群数量为200、食物供应量为30时，下一个时间步的种群数量是多少？,1
